compound	MetaboliteName	Rsq	VarDisp	ModelPVal	ModelPValFDRAdj	Slope	Intercept	Species	VarShare	PosVarShare	NumSynthGenes	SynthGenes	NumDegGenes	DegGenes
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Lactobacillus_salivarius_HO66_ATCC_11741	0	0	3	KESTOASEe KESTOPTASEe KESTOTTRASEe	1	GLCabc
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Mitsuokella_jalaludinii_DSM_13811	0	0	2	AMY1e O16G2e	2	GLCpts GLCt2
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Mobiluncus_curtisii_ATCC_43063	-0.00569579882812434	0	0		1	GLCabc
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Paenibacillus_lactis_154	0	0	4	AMY1e AMY2e O16G1e O16G2e	2	GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Peptoniphilus_harei_ACS_146_V_Sch2b	-0.000401710492398158	0	0		1	GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Peptoniphilus_lacrimalis_DSM_7455	-0.00132263648213447	0	0		2	GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Prevotella_disiens_FB035_09AN	0	0	4	AMY1e AMY2e O16G1e O16G2e	1	GLCabc
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Prevotella_oralis_ATCC_33269	0	0	4	AMY1e AMY2e O16G1e O16G2e	1	GLCabc
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Prevotella_timonensis_CRIS_5C_B1	-0.0417102742551742	0	0		1	GLCabc
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Rare/Low-abundance	-0.00189741605699035	0	NA	NA	NA	NA
C00031	D-Glucose	0.0736956782329828	NA	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Residual	0.926304321767017	NA	NA	NA	NA	NA
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Streptococcus_agalactiae_A909	-0.000294500766621611	0	0		2	GLCabc GLCpts
C00031	D-Glucose	0.0736956782329828	110.662319662678	0.00351047418880224	0.0132617913799196	-0.00188331865815516	16.2159919298575	Streptococcus_infantis_ATCC_700779	-0.00258957796267222	0	0		2	GLCabc GLCpts
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Anaerococcus_prevotii_DSM_20548	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Bacillus_pumilus_ATCC_7061	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Bacillus_thermoamylovorans	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Bacteroides_faecis_MAJ27	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Bacteroides_sp_3_1_23	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Butyrivibrio_crossotus_DSM_2876	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Clostridium_tyrobutyricum_DSM_2637	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Fusobacterium_nucleatum_subsp_animalis_D11	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Gemella_haemolysans_ATCC_10379	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Lactobacillus_gasseri_ATCC_33323	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Lactobacillus_iners_DSM_13335	0.0353399155947649	0.97481302218446	0		1	LYSabc
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Lactobacillus_jensenii_1153	0.000310391449612908	0.00856180955627965	0		1	LYSabc
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Lactobacillus_reuteri_F275_JCM_1112	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Lactobacillus_salivarius_HO66_ATCC_11741	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Mitsuokella_jalaludinii_DSM_13811	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Mobiluncus_curtisii_ATCC_43063	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Paenibacillus_lactis_154	0.00029715346918838	0.00819665430652676	1	LYSt3	0	
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Peptoniphilus_harei_ACS_146_V_Sch2b	0.0000838194252529689	0.00231206741367303	0		1	LYSabc
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Peptoniphilus_lacrimalis_DSM_7455	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Prevotella_disiens_FB035_09AN	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Prevotella_oralis_ATCC_33269	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Prevotella_timonensis_CRIS_5C_B1	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Rare/Low-abundance	0.000221739656232658	0.0061164465390608	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	NA	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Residual	0.963746980404948	NA	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Streptococcus_agalactiae_A909	0	0	NA	NA	NA	NA
C00047	L-Lysine	0.0362530195950518	86.4021051911865	0.0240251550608845	0.0742595701881886	-0.000911219244349827	14.1436053906911	Streptococcus_infantis_ATCC_700779	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Anaerococcus_prevotii_DSM_20548	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Bacillus_pumilus_ATCC_7061	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Bacillus_thermoamylovorans	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Bacteroides_faecis_MAJ27	0.0428888352295232	0.530676871015817	0		1	GTHRDt2
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Bacteroides_sp_3_1_23	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Butyrivibrio_crossotus_DSM_2876	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Clostridium_tyrobutyricum_DSM_2637	0.012129784310099	0.150085586361391	0		1	GTHRDt2
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Fusobacterium_nucleatum_subsp_animalis_D11	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Gemella_haemolysans_ATCC_10379	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Lactobacillus_gasseri_ATCC_33323	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Lactobacillus_iners_DSM_13335	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Lactobacillus_jensenii_1153	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Lactobacillus_reuteri_F275_JCM_1112	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Lactobacillus_salivarius_HO66_ATCC_11741	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Mitsuokella_jalaludinii_DSM_13811	0.0257696041387476	0.318855310909754	0		1	GTHRDt2
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Mobiluncus_curtisii_ATCC_43063	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Paenibacillus_lactis_154	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Peptoniphilus_harei_ACS_146_V_Sch2b	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Peptoniphilus_lacrimalis_DSM_7455	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Prevotella_disiens_FB035_09AN	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Prevotella_oralis_ATCC_33269	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Prevotella_timonensis_CRIS_5C_B1	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Rare/Low-abundance	0.0000308916288901506	0.000382231713038507	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	NA	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Residual	0.91918088469274	NA	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Streptococcus_agalactiae_A909	0	0	NA	NA	NA	NA
C00051	Glutathione	0.0808191153072599	187.372387219844	0.000216287419491978	0.00147075445254545	0.0180600508671284	13.8905031809523	Streptococcus_infantis_ATCC_700779	0	0	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Anaerococcus_prevotii_DSM_20548	0	0	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Bacillus_pumilus_ATCC_7061	0.000722159236103929	0.0039967978551796	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Bacillus_thermoamylovorans	-0.0119577282405146	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Bacteroides_faecis_MAJ27	0	0	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Bacteroides_sp_3_1_23	-0.0056197332938578	0	0		1	ARGabc
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Butyrivibrio_crossotus_DSM_2876	0	0	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Clostridium_tyrobutyricum_DSM_2637	-0.00100041738448374	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Fusobacterium_nucleatum_subsp_animalis_D11	-0.000405696439764532	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Gemella_haemolysans_ATCC_10379	0.000169042852984816	0.000935569440180812	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Lactobacillus_gasseri_ATCC_33323	0.0000483839702392985	0.000267781590000563	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Lactobacillus_iners_DSM_13335	0.154475352953226	0.854945458694811	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Lactobacillus_jensenii_1153	-0.000502102635413429	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Lactobacillus_reuteri_F275_JCM_1112	0	0	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Lactobacillus_salivarius_HO66_ATCC_11741	0.0239715730855613	0.132670922289311	0		1	ARGabc
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Mitsuokella_jalaludinii_DSM_13811	-0.0144841056979569	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Mobiluncus_curtisii_ATCC_43063	-0.00438486506453202	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Paenibacillus_lactis_154	0	0	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Peptoniphilus_harei_ACS_146_V_Sch2b	0.0000415687897078665	0.000230062901975961	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Peptoniphilus_lacrimalis_DSM_7455	-0.00108479334355822	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Prevotella_disiens_FB035_09AN	-0.000120915707112869	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Prevotella_oralis_ATCC_33269	0.000955600208041802	0.00528877935912877	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Prevotella_timonensis_CRIS_5C_B1	-0.0345968450553389	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Rare/Low-abundance	0.000300772376820235	0.0016646278694127	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	NA	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Residual	0.895167082050264	NA	NA	NA	NA	NA
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Streptococcus_agalactiae_A909	-0.00022738661819273	0	0		1	ARGt2
C00062	L-Arginine	0.104832917949736	89.8740063571497	0.000179492249390178	0.00147075445254545	-0.00191458432296002	13.327588675242	Streptococcus_infantis_ATCC_700779	-0.00146694604222382	0	0		1	ARGt2
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Anaerococcus_prevotii_DSM_20548	0.00000839332660750536	0.0000905300556288953	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Bacillus_pumilus_ATCC_7061	0.00193753430126509	0.0208981606791725	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Bacillus_thermoamylovorans	-0.0199142431432148	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Bacteroides_faecis_MAJ27	0	0	NA	NA	NA	NA
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Bacteroides_sp_3_1_23	0	0	NA	NA	NA	NA
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Butyrivibrio_crossotus_DSM_2876	-0.0202624553361381	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Clostridium_tyrobutyricum_DSM_2637	-0.00129793820500164	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Fusobacterium_nucleatum_subsp_animalis_D11	-0.00106838586409133	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Gemella_haemolysans_ATCC_10379	-0.0000491317020927107	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Lactobacillus_gasseri_ATCC_33323	0.00027926575672492	0.00301214830231262	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Lactobacillus_iners_DSM_13335	0.0679873850003288	0.733308976757695	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Lactobacillus_jensenii_1153	0.000308695039614249	0.00332957126720797	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Lactobacillus_reuteri_F275_JCM_1112	0.0016727035997461	0.0180417082543003	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Lactobacillus_salivarius_HO66_ATCC_11741	0.0205191727600418	0.221318904683683	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Mitsuokella_jalaludinii_DSM_13811	-0.00765445527607713	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Mobiluncus_curtisii_ATCC_43063	-0.00315942040796647	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Paenibacillus_lactis_154	-0.000777382442504902	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Peptoniphilus_harei_ACS_146_V_Sch2b	-0.000150361204123245	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Peptoniphilus_lacrimalis_DSM_7455	-0.000989749279696711	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Prevotella_disiens_FB035_09AN	0	0	NA	NA	NA	NA
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Prevotella_oralis_ATCC_33269	0	0	NA	NA	NA	NA
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Prevotella_timonensis_CRIS_5C_B1	0	0	NA	NA	NA	NA
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Rare/Low-abundance	-0.000785599555380062	0	NA	NA	NA	NA
C00073	L-Methionine	0.0321816771863955	NA	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Residual	0.967818322813604	NA	NA	NA	NA	NA
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Streptococcus_agalactiae_A909	-0.000455048877180223	0	0		1	METabc
C00073	L-Methionine	0.0321816771863955	122.025643577143	0.0431457664972503	0.122246338408876	-0.00160935928092342	12.3697416875033	Streptococcus_infantis_ATCC_700779	-0.00396730130446563	0	0		1	METabc
C00123	L-Leucine	0.144280728282562	99.3284132832783	0.0000140099839021079	0.00047633945267167	0.00782126131247488	16.6817189940222	Anaerococcus_prevotii_DSM_20548	0	0	NA	NA	NA	NA
C00123	L-Leucine	0.144280728282562	99.3284132832783	0.0000140099839021079	0.00047633945267167	0.00782126131247488	16.6817189940222	Bacillus_pumilus_ATCC_7061	0	0	NA	NA	NA	NA
C00123	L-Leucine	0.144280728282562	99.3284132832783	0.0000140099839021079	0.00047633945267167	0.00782126131247488	16.6817189940222	Bacillus_thermoamylovorans	-0.0465919681880783	0	0		1	LEUabc
C00123	L-Leucine	0.144280728282562	99.3284132832783	0.0000140099839021079	0.00047633945267167	0.00782126131247488	16.6817189940222	Bacteroides_faecis_MAJ27	0	0	NA	NA	NA	NA
