OTU	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Reversible	KEGGReac	KEGGProd
Anaerococcus_hydrogenalis_DSM_7454	HYXNt	hxan[e]	hxan[c]	1	1	0.2	-1000	1000	1	C00262	C00262
Anaerococcus_hydrogenalis_DSM_7454	ILEabc	ile_L[e]	h[c]	1	1	0.2	0	1000	0	C00407	C00282
Anaerococcus_hydrogenalis_DSM_7454	ILEabc	ile_L[e]	adp[c]	1	1	0.2	0	1000	0	C00407	C00008
Anaerococcus_hydrogenalis_DSM_7454	ILEabc	ile_L[e]	pi[c]	1	1	0.2	0	1000	0	C00407	C00009
Anaerococcus_hydrogenalis_DSM_7454	ILEabc	ile_L[e]	ile_L[c]	1	1	0.2	0	1000	0	C00407	C00407
Anaerococcus_hydrogenalis_DSM_7454	ILEt2r	ile_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00407	C00282
Anaerococcus_hydrogenalis_DSM_7454	ILEt2r	ile_L[e]	ile_L[c]	1	1	0.2	-1000	1000	1	C00407	C00407
Anaerococcus_hydrogenalis_DSM_7454	LEUabc	leu_L[e]	h[c]	1	1	0.2	0	1000	0	C00123	C00282
Anaerococcus_hydrogenalis_DSM_7454	LEUabc	leu_L[e]	adp[c]	1	1	0.2	0	1000	0	C00123	C00008
Anaerococcus_hydrogenalis_DSM_7454	LEUabc	leu_L[e]	pi[c]	1	1	0.2	0	1000	0	C00123	C00009
Anaerococcus_hydrogenalis_DSM_7454	LEUabc	leu_L[e]	leu_L[c]	1	1	0.2	0	1000	0	C00123	C00123
Anaerococcus_hydrogenalis_DSM_7454	LEUt2r	leu_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00123	C00282
Anaerococcus_hydrogenalis_DSM_7454	LEUt2r	leu_L[e]	leu_L[c]	1	1	0.2	-1000	1000	1	C00123	C00123
Anaerococcus_hydrogenalis_DSM_7454	LYSt2r	lys_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00047	C00282
Anaerococcus_hydrogenalis_DSM_7454	LYSt2r	lys_L[e]	lys_L[c]	1	1	0.2	-1000	1000	1	C00047	C00047
Anaerococcus_hydrogenalis_DSM_7454	METabc	met_L[e]	h[c]	1	1	0.2	0	1000	0	C00073	C00282
Anaerococcus_hydrogenalis_DSM_7454	METabc	met_L[e]	adp[c]	1	1	0.2	0	1000	0	C00073	C00008
Anaerococcus_hydrogenalis_DSM_7454	METabc	met_L[e]	pi[c]	1	1	0.2	0	1000	0	C00073	C00009
Anaerococcus_hydrogenalis_DSM_7454	METabc	met_L[e]	met_L[c]	1	1	0.2	0	1000	0	C00073	C00073
Anaerococcus_hydrogenalis_DSM_7454	NACt2r	h[c]	nac[e]	1	1	0.2	-1000	1000	1	C00282	C00253
Anaerococcus_hydrogenalis_DSM_7454	NACt2r	nac[c]	nac[e]	1	1	0.2	-1000	1000	1	C00253	C00253
Anaerococcus_hydrogenalis_DSM_7454	PPAt2r	h[c]	ppa[e]	1	1	0.2	-1000	1000	1	C00282	C00163
Anaerococcus_hydrogenalis_DSM_7454	PPAt2r	ppa[c]	ppa[e]	1	1	0.2	-1000	1000	1	C00163	C00163
Anaerococcus_hydrogenalis_DSM_7454	PROabc	pro_L[e]	h[c]	1	1	0.2	0	1000	0	C00148	C00282
Anaerococcus_hydrogenalis_DSM_7454	PROabc	pro_L[e]	adp[c]	1	1	0.2	0	1000	0	C00148	C00008
Anaerococcus_hydrogenalis_DSM_7454	PROabc	pro_L[e]	pi[c]	1	1	0.2	0	1000	0	C00148	C00009
Anaerococcus_hydrogenalis_DSM_7454	PROabc	pro_L[e]	pro_L[c]	1	1	0.2	0	1000	0	C00148	C00148
Anaerococcus_hydrogenalis_DSM_7454	PTRCabc	ptrc[e]	h[c]	1	1	0.2	0	1000	0	C00134	C00282
Anaerococcus_hydrogenalis_DSM_7454	PTRCabc	ptrc[e]	adp[c]	1	1	0.2	0	1000	0	C00134	C00008
Anaerococcus_hydrogenalis_DSM_7454	PTRCabc	ptrc[e]	pi[c]	1	1	0.2	0	1000	0	C00134	C00009
Anaerococcus_hydrogenalis_DSM_7454	PTRCabc	ptrc[e]	ptrc[c]	1	1	0.2	0	1000	0	C00134	C00134
Anaerococcus_hydrogenalis_DSM_7454	SBTpts	sbt_D[e]	pyr[c]	1	1	0.2	0	1000	0	C00794	C00022
Anaerococcus_hydrogenalis_DSM_7454	SBTpts	sbt_D[e]	sbt6p[c]	1	1	0.2	0	1000	0	C00794	NA
Anaerococcus_hydrogenalis_DSM_7454	SPMDabc	spmd[e]	h[c]	1	1	0.2	0	1000	0	C00315	C00282
Anaerococcus_hydrogenalis_DSM_7454	SPMDabc	spmd[e]	adp[c]	1	1	0.2	0	1000	0	C00315	C00008
Anaerococcus_hydrogenalis_DSM_7454	SPMDabc	spmd[e]	pi[c]	1	1	0.2	0	1000	0	C00315	C00009
Anaerococcus_hydrogenalis_DSM_7454	SPMDabc	spmd[e]	spmd[c]	1	1	0.2	0	1000	0	C00315	C00315
Anaerococcus_hydrogenalis_DSM_7454	SUCCt2r	succ[e]	h[c]	1	1	0.2	-1000	1000	1	C00042	C00282
Anaerococcus_hydrogenalis_DSM_7454	SUCCt2r	succ[e]	succ[c]	1	1	0.2	-1000	1000	1	C00042	C00042
Anaerococcus_hydrogenalis_DSM_7454	TAURabc	taur[e]	h[c]	1	1	0.2	0	1000	0	C00245	C00282
Anaerococcus_hydrogenalis_DSM_7454	TAURabc	taur[e]	adp[c]	1	1	0.2	0	1000	0	C00245	C00008
Anaerococcus_hydrogenalis_DSM_7454	TAURabc	taur[e]	pi[c]	1	1	0.2	0	1000	0	C00245	C00009
Anaerococcus_hydrogenalis_DSM_7454	TAURabc	taur[e]	taur[c]	1	1	0.2	0	1000	0	C00245	C00245
Anaerococcus_hydrogenalis_DSM_7454	URAt2	ura[e]	h[c]	1	1	0.2	0	1000	0	C00106	C00282
Anaerococcus_hydrogenalis_DSM_7454	URAt2	ura[e]	ura[c]	1	1	0.2	0	1000	0	C00106	C00106
Anaerococcus_hydrogenalis_DSM_7454	VALabc	val_L[e]	h[c]	1	1	0.2	0	1000	0	C00183	C00282
Anaerococcus_hydrogenalis_DSM_7454	VALabc	val_L[e]	adp[c]	1	1	0.2	0	1000	0	C00183	C00008
Anaerococcus_hydrogenalis_DSM_7454	VALabc	val_L[e]	pi[c]	1	1	0.2	0	1000	0	C00183	C00009
Anaerococcus_hydrogenalis_DSM_7454	VALabc	val_L[e]	val_L[c]	1	1	0.2	0	1000	0	C00183	C00183
Anaerococcus_hydrogenalis_DSM_7454	VALt2r	val_L[e]	h[c]	1	1	0.2	-1000	1000	1	C00183	C00282
Anaerococcus_hydrogenalis_DSM_7454	VALt2r	val_L[e]	val_L[c]	1	1	0.2	-1000	1000	1	C00183	C00183
Anaerococcus_hydrogenalis_DSM_7454	XANt2	xan[e]	h[c]	1	1	0.2	0	1000	0	C00385	C00282
Anaerococcus_hydrogenalis_DSM_7454	XANt2	xan[e]	xan[c]	1	1	0.2	0	1000	0	C00385	C00385
Anaerococcus_hydrogenalis_DSM_7454	r1144	glu_L[e]	glu_L[c]	1	1	0.2	0	1000	0	C00025	C00025
Anaerococcus_hydrogenalis_DSM_7454	r1144	glu_L[e]	na1[c]	1	1	0.2	0	1000	0	C00025	C01330
Anaerococcus_hydrogenalis_DSM_7454	r1667	arg_L[e]	arg_L[c]	1	1	0.2	-1000	1000	1	C00062	C00062
Anaerococcus_hydrogenalis_DSM_7454	r1667	arg_L[e]	orn[e]	1	1	0.2	-1000	1000	1	C00062	C00077
Anaerococcus_hydrogenalis_DSM_7454	r1667	orn[c]	orn[e]	1	1	0.2	-1000	1000	1	C00077	C00077
Anaerococcus_prevotii_DSM_20548	ARGt2r	arg_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00062	C00282
Anaerococcus_prevotii_DSM_20548	ARGt2r	arg_L[e]	arg_L[c]	1	1	0.25	-1000	1000	1	C00062	C00062
Anaerococcus_prevotii_DSM_20548	ASPt2r	asp_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00049	C00282
Anaerococcus_prevotii_DSM_20548	ASPt2r	asp_L[e]	asp_L[c]	1	1	0.25	-1000	1000	1	C00049	C00049
Anaerococcus_prevotii_DSM_20548	CSNt2	csn[e]	h[c]	1	1	0.25	0	1000	0	C00380	C00282
Anaerococcus_prevotii_DSM_20548	CSNt2	csn[e]	csn[c]	1	1	0.25	0	1000	0	C00380	C00380
Anaerococcus_prevotii_DSM_20548	GLCabc	glc_D[e]	h[c]	1	1	0.25	0	1000	0	C00031	C00282
Anaerococcus_prevotii_DSM_20548	GLCabc	glc_D[e]	adp[c]	1	1	0.25	0	1000	0	C00031	C00008
Anaerococcus_prevotii_DSM_20548	GLCabc	glc_D[e]	pi[c]	1	1	0.25	0	1000	0	C00031	C00009
Anaerococcus_prevotii_DSM_20548	GLCabc	glc_D[e]	glc_D[c]	1	1	0.25	0	1000	0	C00031	C00031
Anaerococcus_prevotii_DSM_20548	GLCpts	glc_D[e]	g6p[c]	1	1	0.25	0	1000	0	C00031	C00092
Anaerococcus_prevotii_DSM_20548	GLCpts	glc_D[e]	pyr[c]	1	1	0.25	0	1000	0	C00031	C00022
Anaerococcus_prevotii_DSM_20548	GLNt2r	gln_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00064	C00282
Anaerococcus_prevotii_DSM_20548	GLNt2r	gln_L[e]	gln_L[c]	1	1	0.25	-1000	1000	1	C00064	C00064
Anaerococcus_prevotii_DSM_20548	GLUt2r	glu_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00025	C00282
Anaerococcus_prevotii_DSM_20548	GLUt2r	glu_L[e]	glu_L[c]	1	1	0.25	-1000	1000	1	C00025	C00025
Anaerococcus_prevotii_DSM_20548	GLYt4r	gly[e]	gly[c]	1	1	0.25	-1000	1000	1	C00037	C00037
Anaerococcus_prevotii_DSM_20548	GLYt4r	gly[e]	na1[c]	1	1	0.25	-1000	1000	1	C00037	C01330
Anaerococcus_prevotii_DSM_20548	HISt2r	his_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00135	C00282
Anaerococcus_prevotii_DSM_20548	HISt2r	his_L[e]	his_L[c]	1	1	0.25	-1000	1000	1	C00135	C00135
Anaerococcus_prevotii_DSM_20548	HYXNti	hxan[e]	hxan[c]	1	1	0.25	0	1000	0	C00262	C00262
Anaerococcus_prevotii_DSM_20548	ILEt2r	ile_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00407	C00282
Anaerococcus_prevotii_DSM_20548	ILEt2r	ile_L[e]	ile_L[c]	1	1	0.25	-1000	1000	1	C00407	C00407
Anaerococcus_prevotii_DSM_20548	LEUt2r	leu_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00123	C00282
Anaerococcus_prevotii_DSM_20548	LEUt2r	leu_L[e]	leu_L[c]	1	1	0.25	-1000	1000	1	C00123	C00123
Anaerococcus_prevotii_DSM_20548	LYSt2r	lys_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00047	C00282
Anaerococcus_prevotii_DSM_20548	LYSt2r	lys_L[e]	lys_L[c]	1	1	0.25	-1000	1000	1	C00047	C00047
Anaerococcus_prevotii_DSM_20548	METabc	met_L[e]	h[c]	1	1	0.25	0	1000	0	C00073	C00282
Anaerococcus_prevotii_DSM_20548	METabc	met_L[e]	adp[c]	1	1	0.25	0	1000	0	C00073	C00008
Anaerococcus_prevotii_DSM_20548	METabc	met_L[e]	pi[c]	1	1	0.25	0	1000	0	C00073	C00009
Anaerococcus_prevotii_DSM_20548	METabc	met_L[e]	met_L[c]	1	1	0.25	0	1000	0	C00073	C00073
Anaerococcus_prevotii_DSM_20548	NACt2r	h[c]	nac[e]	1	1	0.25	-1000	1000	1	C00282	C00253
Anaerococcus_prevotii_DSM_20548	NACt2r	nac[c]	nac[e]	1	1	0.25	-1000	1000	1	C00253	C00253
Anaerococcus_prevotii_DSM_20548	PPAt2r	h[c]	ppa[e]	1	1	0.25	-1000	1000	1	C00282	C00163
Anaerococcus_prevotii_DSM_20548	PPAt2r	ppa[c]	ppa[e]	1	1	0.25	-1000	1000	1	C00163	C00163
Anaerococcus_prevotii_DSM_20548	PROt2r	pro_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00148	C00282
Anaerococcus_prevotii_DSM_20548	PROt2r	pro_L[e]	pro_L[c]	1	1	0.25	-1000	1000	1	C00148	C00148
Anaerococcus_prevotii_DSM_20548	PTRCabc	ptrc[e]	h[c]	1	1	0.25	0	1000	0	C00134	C00282
Anaerococcus_prevotii_DSM_20548	PTRCabc	ptrc[e]	adp[c]	1	1	0.25	0	1000	0	C00134	C00008
Anaerococcus_prevotii_DSM_20548	PTRCabc	ptrc[e]	pi[c]	1	1	0.25	0	1000	0	C00134	C00009
Anaerococcus_prevotii_DSM_20548	PTRCabc	ptrc[e]	ptrc[c]	1	1	0.25	0	1000	0	C00134	C00134
Anaerococcus_prevotii_DSM_20548	SBTpts	sbt_D[e]	pyr[c]	1	1	0.25	0	1000	0	C00794	C00022
Anaerococcus_prevotii_DSM_20548	SBTpts	sbt_D[e]	sbt6p[c]	1	1	0.25	0	1000	0	C00794	NA
Anaerococcus_prevotii_DSM_20548	SPMDabc	spmd[e]	h[c]	1	1	0.25	0	1000	0	C00315	C00282
Anaerococcus_prevotii_DSM_20548	SPMDabc	spmd[e]	adp[c]	1	1	0.25	0	1000	0	C00315	C00008
Anaerococcus_prevotii_DSM_20548	SPMDabc	spmd[e]	pi[c]	1	1	0.25	0	1000	0	C00315	C00009
Anaerococcus_prevotii_DSM_20548	SPMDabc	spmd[e]	spmd[c]	1	1	0.25	0	1000	0	C00315	C00315
Anaerococcus_prevotii_DSM_20548	SUCCt2r	succ[e]	h[c]	1	1	0.25	-1000	1000	1	C00042	C00282
Anaerococcus_prevotii_DSM_20548	SUCCt2r	succ[e]	succ[c]	1	1	0.25	-1000	1000	1	C00042	C00042
Anaerococcus_prevotii_DSM_20548	TAURabc	taur[e]	h[c]	1	1	0.25	0	1000	0	C00245	C00282
Anaerococcus_prevotii_DSM_20548	TAURabc	taur[e]	adp[c]	1	1	0.25	0	1000	0	C00245	C00008
Anaerococcus_prevotii_DSM_20548	TAURabc	taur[e]	pi[c]	1	1	0.25	0	1000	0	C00245	C00009
Anaerococcus_prevotii_DSM_20548	TAURabc	taur[e]	taur[c]	1	1	0.25	0	1000	0	C00245	C00245
Anaerococcus_prevotii_DSM_20548	URAt2	ura[e]	h[c]	1	1	0.25	0	1000	0	C00106	C00282
Anaerococcus_prevotii_DSM_20548	URAt2	ura[e]	ura[c]	1	1	0.25	0	1000	0	C00106	C00106
Anaerococcus_prevotii_DSM_20548	URIt2r	uri[e]	h[c]	1	1	0.25	-1000	1000	1	C00299	C00282
Anaerococcus_prevotii_DSM_20548	URIt2r	uri[e]	uri[c]	1	1	0.25	-1000	1000	1	C00299	C00299
Anaerococcus_prevotii_DSM_20548	VALt2r	val_L[e]	h[c]	1	1	0.25	-1000	1000	1	C00183	C00282
Anaerococcus_prevotii_DSM_20548	VALt2r	val_L[e]	val_L[c]	1	1	0.25	-1000	1000	1	C00183	C00183
Anaerococcus_prevotii_DSM_20548	XANt2	xan[e]	h[c]	1	1	0.25	0	1000	0	C00385	C00282
Anaerococcus_prevotii_DSM_20548	XANt2	xan[e]	xan[c]	1	1	0.25	0	1000	0	C00385	C00385
Anaerococcus_prevotii_DSM_20548	r1144	glu_L[e]	glu_L[c]	1	1	0.25	0	1000	0	C00025	C00025
Anaerococcus_prevotii_DSM_20548	r1144	glu_L[e]	na1[c]	1	1	0.25	0	1000	0	C00025	C01330
Atopobium_parvulum_DSM_20469	ARGt2	arg_L[e]	h[c]	1	1	1	0	1000	0	C00062	C00282
Atopobium_parvulum_DSM_20469	ARGt2	arg_L[e]	arg_L[c]	1	1	1	0	1000	0	C00062	C00062
Atopobium_parvulum_DSM_20469	ASPt2r	asp_L[e]	h[c]	1	1	1	-1000	1000	1	C00049	C00282
Atopobium_parvulum_DSM_20469	ASPt2r	asp_L[e]	asp_L[c]	1	1	1	-1000	1000	1	C00049	C00049
Atopobium_parvulum_DSM_20469	CSNt2	csn[e]	h[c]	1	1	1	0	1000	0	C00380	C00282
Atopobium_parvulum_DSM_20469	CSNt2	csn[e]	csn[c]	1	1	1	0	1000	0	C00380	C00380
Atopobium_parvulum_DSM_20469	GLCabc	glc_D[e]	h[c]	1	1	1	0	1000	0	C00031	C00282
Atopobium_parvulum_DSM_20469	GLCabc	glc_D[e]	adp[c]	1	1	1	0	1000	0	C00031	C00008
Atopobium_parvulum_DSM_20469	GLCabc	glc_D[e]	pi[c]	1	1	1	0	1000	0	C00031	C00009
Atopobium_parvulum_DSM_20469	GLCabc	glc_D[e]	glc_D[c]	1	1	1	0	1000	0	C00031	C00031
Atopobium_parvulum_DSM_20469	GLCpts	glc_D[e]	g6p[c]	1	1	1	0	1000	0	C00031	C00092
Atopobium_parvulum_DSM_20469	GLCpts	glc_D[e]	pyr[c]	1	1	1	0	1000	0	C00031	C00022
Atopobium_parvulum_DSM_20469	GLNt2r	gln_L[e]	h[c]	1	1	1	-1000	1000	1	C00064	C00282
Atopobium_parvulum_DSM_20469	GLNt2r	gln_L[e]	gln_L[c]	1	1	1	-1000	1000	1	C00064	C00064
Atopobium_parvulum_DSM_20469	GLUt2r	glu_L[e]	h[c]	1	1	1	-1000	1000	1	C00025	C00282
Atopobium_parvulum_DSM_20469	GLUt2r	glu_L[e]	glu_L[c]	1	1	1	-1000	1000	1	C00025	C00025
Atopobium_parvulum_DSM_20469	GLYt2r	gly[e]	h[c]	1	1	1	-1000	1000	1	C00037	C00282
Atopobium_parvulum_DSM_20469	GLYt2r	gly[e]	gly[c]	1	1	1	-1000	1000	1	C00037	C00037
Atopobium_parvulum_DSM_20469	HISTAt2	h[c]	hista[e]	1	1	1	0	1000	0	C00282	C00388
Atopobium_parvulum_DSM_20469	HISTAt2	hista[c]	hista[e]	1	1	1	0	1000	0	C00388	C00388
Atopobium_parvulum_DSM_20469	HISt2r	his_L[e]	h[c]	1	1	1	-1000	1000	1	C00135	C00282
Atopobium_parvulum_DSM_20469	HISt2r	his_L[e]	his_L[c]	1	1	1	-1000	1000	1	C00135	C00135
Atopobium_parvulum_DSM_20469	HYXNti	hxan[e]	hxan[c]	1	1	1	0	1000	0	C00262	C00262
Atopobium_parvulum_DSM_20469	ILEabc	ile_L[e]	h[c]	1	1	1	0	1000	0	C00407	C00282
Atopobium_parvulum_DSM_20469	ILEabc	ile_L[e]	adp[c]	1	1	1	0	1000	0	C00407	C00008
Atopobium_parvulum_DSM_20469	ILEabc	ile_L[e]	pi[c]	1	1	1	0	1000	0	C00407	C00009
Atopobium_parvulum_DSM_20469	ILEabc	ile_L[e]	ile_L[c]	1	1	1	0	1000	0	C00407	C00407
Atopobium_parvulum_DSM_20469	LEUabc	leu_L[e]	h[c]	1	1	1	0	1000	0	C00123	C00282
Atopobium_parvulum_DSM_20469	LEUabc	leu_L[e]	adp[c]	1	1	1	0	1000	0	C00123	C00008
Atopobium_parvulum_DSM_20469	LEUabc	leu_L[e]	pi[c]	1	1	1	0	1000	0	C00123	C00009
Atopobium_parvulum_DSM_20469	LEUabc	leu_L[e]	leu_L[c]	1	1	1	0	1000	0	C00123	C00123
Atopobium_parvulum_DSM_20469	LYSt2r	lys_L[e]	h[c]	1	1	1	-1000	1000	1	C00047	C00282
Atopobium_parvulum_DSM_20469	LYSt2r	lys_L[e]	lys_L[c]	1	1	1	-1000	1000	1	C00047	C00047
Atopobium_parvulum_DSM_20469	METt2r	met_L[e]	h[c]	1	1	1	-1000	1000	1	C00073	C00282
Atopobium_parvulum_DSM_20469	METt2r	met_L[e]	met_L[c]	1	1	1	-1000	1000	1	C00073	C00073
Atopobium_parvulum_DSM_20469	NACt2r	h[c]	nac[e]	1	1	1	-1000	1000	1	C00282	C00253
Atopobium_parvulum_DSM_20469	NACt2r	nac[c]	nac[e]	1	1	1	-1000	1000	1	C00253	C00253
Atopobium_parvulum_DSM_20469	ORNt2r	orn[e]	h[c]	1	1	1	-1000	1000	1	C00077	C00282
Atopobium_parvulum_DSM_20469	ORNt2r	orn[e]	orn[c]	1	1	1	-1000	1000	1	C00077	C00077
Atopobium_parvulum_DSM_20469	PNTOabc	pnto_R[e]	h[c]	1	1	1	0	1000	0	C00864	C00282
Atopobium_parvulum_DSM_20469	PNTOabc	pnto_R[e]	adp[c]	1	1	1	0	1000	0	C00864	C00008
Atopobium_parvulum_DSM_20469	PNTOabc	pnto_R[e]	pi[c]	1	1	1	0	1000	0	C00864	C00009
Atopobium_parvulum_DSM_20469	PNTOabc	pnto_R[e]	pnto_R[c]	1	1	1	0	1000	0	C00864	C00864
Atopobium_parvulum_DSM_20469	PPAt2	ppa[c]	ppa[e]	1	1	1	0	1000	0	C00163	C00163
Atopobium_parvulum_DSM_20469	PROt2r	pro_L[e]	h[c]	1	1	1	-1000	1000	1	C00148	C00282
Atopobium_parvulum_DSM_20469	PROt2r	pro_L[e]	pro_L[c]	1	1	1	-1000	1000	1	C00148	C00148
Atopobium_parvulum_DSM_20469	SBTpts	sbt_D[e]	pyr[c]	1	1	1	0	1000	0	C00794	C00022
Atopobium_parvulum_DSM_20469	SBTpts	sbt_D[e]	sbt6p[c]	1	1	1	0	1000	0	C00794	NA
Atopobium_parvulum_DSM_20469	SPMDabc	spmd[e]	h[c]	1	1	1	0	1000	0	C00315	C00282
Atopobium_parvulum_DSM_20469	SPMDabc	spmd[e]	adp[c]	1	1	1	0	1000	0	C00315	C00008
Atopobium_parvulum_DSM_20469	SPMDabc	spmd[e]	pi[c]	1	1	1	0	1000	0	C00315	C00009
Atopobium_parvulum_DSM_20469	SPMDabc	spmd[e]	spmd[c]	1	1	1	0	1000	0	C00315	C00315
Atopobium_parvulum_DSM_20469	SUCCt2r	succ[e]	h[c]	1	1	1	-1000	1000	1	C00042	C00282
Atopobium_parvulum_DSM_20469	SUCCt2r	succ[e]	succ[c]	1	1	1	-1000	1000	1	C00042	C00042
Atopobium_parvulum_DSM_20469	TRYPTAt2	h[c]	trypta[e]	1	1	1	0	1000	0	C00282	C00398
Atopobium_parvulum_DSM_20469	TRYPTAt2	trypta[c]	trypta[e]	1	1	1	0	1000	0	C00398	C00398
Atopobium_parvulum_DSM_20469	URAt2	ura[e]	h[c]	1	1	1	0	1000	0	C00106	C00282
Atopobium_parvulum_DSM_20469	URAt2	ura[e]	ura[c]	1	1	1	0	1000	0	C00106	C00106
Atopobium_parvulum_DSM_20469	VALabc	val_L[e]	h[c]	1	1	1	0	1000	0	C00183	C00282
Atopobium_parvulum_DSM_20469	VALabc	val_L[e]	adp[c]	1	1	1	0	1000	0	C00183	C00008
Atopobium_parvulum_DSM_20469	VALabc	val_L[e]	pi[c]	1	1	1	0	1000	0	C00183	C00009
Atopobium_parvulum_DSM_20469	VALabc	val_L[e]	val_L[c]	1	1	1	0	1000	0	C00183	C00183
Atopobium_parvulum_DSM_20469	XANt2	xan[e]	h[c]	1	1	1	0	1000	0	C00385	C00282
Atopobium_parvulum_DSM_20469	XANt2	xan[e]	xan[c]	1	1	1	0	1000	0	C00385	C00385
Bacillus_pumilus_ATCC_7061	ARGt2	arg_L[e]	h[c]	1	1	0.111111111111111	0	1000	0	C00062	C00282
Bacillus_pumilus_ATCC_7061	ARGt2	arg_L[e]	arg_L[c]	1	1	0.111111111111111	0	1000	0	C00062	C00062
Bacillus_pumilus_ATCC_7061	ASPt2r	asp_L[e]	h[c]	1	1	0.111111111111111	-1000	1000	1	C00049	C00282
Bacillus_pumilus_ATCC_7061	ASPt2r	asp_L[e]	asp_L[c]	1	1	0.111111111111111	-1000	1000	1	C00049	C00049
Bacillus_pumilus_ATCC_7061	BTNabc	btn[e]	h[c]	1	1	0.111111111111111	0	1000	0	C00120	C00282
Bacillus_pumilus_ATCC_7061	BTNabc	btn[e]	pi[c]	1	1	0.111111111111111	0	1000	0	C00120	C00009
Bacillus_pumilus_ATCC_7061	BTNabc	btn[e]	adp[c]	1	1	0.111111111111111	0	1000	0	C00120	C00008
Bacillus_pumilus_ATCC_7061	BTNabc	btn[e]	btn[c]	1	1	0.111111111111111	0	1000	0	C00120	C00120
Bacillus_pumilus_ATCC_7061	CHLabc	chol[e]	h[c]	1	1	0.111111111111111	0	1000	0	C00114	C00282
Bacillus_pumilus_ATCC_7061	CHLabc	chol[e]	pi[c]	1	1	0.111111111111111	0	1000	0	C00114	C00009
Bacillus_pumilus_ATCC_7061	CHLabc	chol[e]	adp[c]	1	1	0.111111111111111	0	1000	0	C00114	C00008
Bacillus_pumilus_ATCC_7061	CHLabc	chol[e]	chol[c]	1	1	0.111111111111111	0	1000	0	C00114	C00114
Bacillus_pumilus_ATCC_7061	FUMt2r	fum[e]	h[c]	1	1	0.111111111111111	-1000	1000	1	C00122	C00282
