databaseID	Organism	AGORA_ID
GCF_002128585.1_ASM212858v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128715.1_ASM212871v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128755.1_ASM212875v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128605.1_ASM212860v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128745.1_ASM212874v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128615.1_ASM212861v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128635.1_ASM212863v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128655.1_ASM212865v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128685.1_ASM212868v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128765.1_ASM212876v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002128705.1_ASM212870v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_001889975.1_ASM188997v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003053005.1_ASM305300v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003061745.1_ASM306174v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003061685.1_ASM306168v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003065345.1_ASM306534v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002007085.1_ASM200708v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002156605.1_ASM215660v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003064585.1_ASM306458v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002027295.1_ASM202729v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002160565.1_ASM216056v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002159305.1_ASM215930v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002112195.1_ASM211219v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002112225.1_ASM211222v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002112185.1_ASM211218v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002112245.1_ASM211224v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002112805.1_ASM211280v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254255.1_ASM225425v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254245.1_ASM225424v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254195.1_ASM225419v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254185.1_ASM225418v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254165.1_ASM225416v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254175.1_ASM225417v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254115.1_ASM225411v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254085.1_ASM225408v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254105.1_ASM225410v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254045.1_ASM225404v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254025.1_ASM225402v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254095.1_ASM225409v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002254035.1_ASM225403v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253955.1_ASM225395v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253925.1_ASM225392v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253965.1_ASM225396v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253975.1_ASM225397v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253945.1_ASM225394v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253905.1_ASM225390v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253835.1_ASM225383v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253825.1_ASM225382v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253865.1_ASM225386v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253875.1_ASM225387v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253785.1_ASM225378v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253765.1_ASM225376v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253755.1_ASM225375v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253725.1_ASM225372v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253745.1_ASM225374v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253705.1_ASM225370v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253685.1_ASM225368v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253625.1_ASM225362v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002253665.1_ASM225366v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_002762415.1_ASM276241v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003046135.1_ASM304613v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003046055.1_ASM304605v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003175125.1_ASM317512v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003175015.1_ASM317501v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174935.1_ASM317493v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174995.1_ASM317499v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174955.1_ASM317495v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174875.1_ASM317487v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174865.1_ASM317486v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174855.1_ASM317485v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003175075.1_ASM317507v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174945.1_ASM317494v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174915.1_ASM317491v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003174815.1_ASM317481v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_003175025.1_ASM317502v1	Lactobacillus reuteri F275, JCM 1112	Lactobacillus_reuteri_F275_JCM_1112
GCF_900094615.1_ASM90009461v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_000758365.1_ASM75836v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_001063855.1_ASM106385v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_001067265.1_ASM106726v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_001066665.1_ASM106666v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289985.1_ASM228998v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289615.1_ASM228961v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289605.1_ASM228960v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289625.1_ASM228962v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289965.1_ASM228996v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289675.1_ASM228967v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289665.1_ASM228966v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289685.1_ASM228968v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289735.1_ASM228973v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289725.1_ASM228972v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289745.1_ASM228974v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002135095.1_ASM213509v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289785.1_ASM228978v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289815.1_ASM228981v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289795.1_ASM228979v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289845.1_ASM228984v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289865.1_ASM228986v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289875.1_ASM228987v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289905.1_ASM228990v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289925.1_ASM228992v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002289935.1_ASM228993v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_001723525.1_ASM172352v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_003061545.1_ASM306154v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_003052875.1_ASM305287v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_003061585.1_ASM306158v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_003052845.1_ASM305284v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079905.1_ASM207990v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079845.1_ASM207984v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079765.1_ASM207976v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079805.1_ASM207980v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079785.1_ASM207978v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079745.1_ASM207974v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079715.1_ASM207971v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079705.1_ASM207970v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079685.1_ASM207968v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079645.1_ASM207964v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079625.1_ASM207962v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079595.1_ASM207959v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079585.1_ASM207958v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079565.1_ASM207956v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079545.1_ASM207954v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079525.1_ASM207952v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079505.1_ASM207950v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079485.1_ASM207948v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079465.1_ASM207946v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079425.1_ASM207942v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079405.1_ASM207940v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079435.1_ASM207943v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079385.1_ASM207938v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079795.1_ASM207979v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079325.1_ASM207932v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079365.1_ASM207936v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079925.1_ASM207992v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002079335.1_ASM207933v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002160855.1_ASM216085v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002159345.1_ASM215934v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002161265.1_ASM216126v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002162055.1_ASM216205v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002250405.1_ASM225040v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002738245.1_ASM273824v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002735985.1_ASM273598v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002736025.1_ASM273602v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_002848245.1_ASM284824v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_003129685.1_ASM312968v1	Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus_salivarius_HO66_ATCC_11741
GCF_001686105.1_ASM168610v1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_001686125.1_ASM168612v1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825005.1_BIC1206122787.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825025.1_BIC1307292462.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825045.1_BIC1401111250.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825065.1_BIC1401212621a.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825085.1_BIC1401212621b.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825105.1_BIB1401242951.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825125.1_BIB1401272845a.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_000825145.1_BIB1401272845b.V1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_001051015.2_ASM105101v2	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_001051015.2_ASM105101v2	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_002900845.1_ASM290084v1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_002900845.1_ASM290084v1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_001281305.1_ASM128130v1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_001870755.1_ASM187075v1	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_002076025.1_Bbif1888B	Bifidobacterium longum infantis ATCC 15697	Bifidobacterium_longum_infantis_ATCC_15697
GCF_900096725.1_TFUB4	Tannerella forsythia ATCC 43037	Tannerella_forsythia_ATCC_43037
GCF_900096735.1_TFUB20	Tannerella forsythia ATCC 43037	Tannerella_forsythia_ATCC_43037
GCF_900096715.1_TFUB22	Tannerella forsythia ATCC 43037	Tannerella_forsythia_ATCC_43037
GCF_001006485.1_ASM100648v1	Tannerella forsythia ATCC 43037	Tannerella_forsythia_ATCC_43037
GCF_001938785.1_ASM193878v1	Tannerella forsythia ATCC 43037	Tannerella_forsythia_ATCC_43037
GCF_002529295.1_ASM252929v1	Tannerella forsythia ATCC 43037	Tannerella_forsythia_ATCC_43037
GCF_002529085.1_ASM252908v1	Tannerella forsythia ATCC 43037	Tannerella_forsythia_ATCC_43037
GCF_900187175.1_51342_A02	Odoribacter splanchnicus 1651/6, DSM 20712	Odoribacter_splanchnicus_1651_6_DSM_20712
GCF_002159415.1_ASM215941v1	Odoribacter splanchnicus 1651/6, DSM 20712	Odoribacter_splanchnicus_1651_6_DSM_20712
GCF_002161635.1_ASM216163v1	Odoribacter splanchnicus 1651/6, DSM 20712	Odoribacter_splanchnicus_1651_6_DSM_20712
GCF_900186885.1_48903_D01	Veillonella parvula Te3, DSM 2008	Veillonella_parvula_Te3_DSM_2008
GCF_001553335.1_ASM155333v1	Veillonella parvula Te3, DSM 2008	Veillonella_parvula_Te3_DSM_2008
GCF_002005185.1_ASM200518v1	Veillonella parvula Te3, DSM 2008	Veillonella_parvula_Te3_DSM_2008
GCF_002847925.1_ASM284792v1	Veillonella parvula Te3, DSM 2008	Veillonella_parvula_Te3_DSM_2008
GCF_000751775.1_A1A	Bacillus thermoamylovorans	Bacillus_thermoamylovorans
GCF_000832245.1_ASM83224v1	Bacillus thermoamylovorans	Bacillus_thermoamylovorans
GCF_000832165.1_ASM83216v1	Bacillus thermoamylovorans	Bacillus_thermoamylovorans
GCF_000832175.1_ASM83217v1	Bacillus thermoamylovorans	Bacillus_thermoamylovorans
GCF_000832185.1_ASM83218v1	Bacillus thermoamylovorans	Bacillus_thermoamylovorans
GCF_003096215.1_ASM309621v1	Bacillus thermoamylovorans	Bacillus_thermoamylovorans
GCF_001535605.1_ASM153560v1	Bifidobacterium stercoris ATCC 43183	Bifidobacterium_stercoris_DSM_24849
GCF_900106605.1_IMG-taxon_2693429855_annotated_assembly	Bifidobacterium stercoris ATCC 43183	Bifidobacterium_stercoris_DSM_24849
GCF_000009825.1_ASM982v1	Bacillus clausii KSM-K16	Bacillus_clausii_KSM_K16
GCF_000307795.1_ASM30779v1	Helicobacter pylori 26695	Helicobacter_pylori_26695
GCF_000008525.1_ASM852v1	Helicobacter pylori 26695	Helicobacter_pylori_26695
GCF_002224675.1_ASM222467v1	Prevotella copri CB7, DSM 18205	Prevotella_copri_CB7_DSM_18205
GCF_900102475.1_IMG-taxon_2599185228_annotated_assembly	Marvinbryantia formatexigens I-52, DSM 14469	Marvinbryantia_formatexigens_I_52_DSM_14469
GCF_000007645.1_ASM764v1	Staphylococcus epidermidis ATCC 12228	Staphylococcus_epidermidis_ATCC_12228
GCF_000009085.1_ASM908v1	Campylobacter jejuni jejuni NCTC 11168	Campylobacter_jejuni_jejuni_NCTC_11168
GCF_000013285.1_ASM1328v1	Clostridium perfringens ATCC 13124	Clostridium_perfringens_ATCC_13124
GCF_000007485.1_ASM748v1	Tropheryma whipplei str. Twist	Tropheryma_whipplei_str_Twist
GCF_000166895.2_ASM16689v2	Bifidobacterium longum DJO10A	Bifidobacterium_longum_DJO10A
GCF_000008945.1_ASM894v1	Bifidobacterium longum DJO10A	Bifidobacterium_longum_DJO10A
GCF_000012705.1_ASM1270v1	Streptococcus agalactiae A909	Streptococcus_agalactiae_A909
GCF_000007525.1_ASM752v1	Bifidobacterium longum NCC2705	Bifidobacterium_longum_NCC2705
GCF_001312825.1_ASM131282v1	Ruminococcus champanellensis 18P13	Ruminococcus_champanellensis_18P13
GCF_000210095.1_ASM21009v1	Ruminococcus champanellensis 18P13	Ruminococcus_champanellensis_18P13
